"DESCRICAO","CAUSAS"
"001  COLERA","001"
"002  FEBRES TIFOIDE E PARATIFOIDE","002"
"003  OUTRAS INFECCOES POR SALMONELLA","003"
"004  SHIGUELOSE","004"
"005  OUT INTOXIC ALIMENTARES (BACTERIANAS)","005"
"006  AMEBIASE","006"
"007  OUT DOENCAS INTESTINAIS DEV PROTOZOARIOS","007"
"008  INFECCOES INTESTINAIS DEV OUT MICROORGAN","008"
"009  INFECCOES INTESTINAIS MAL DEFINIDAS","009"
"010  INFECCAO TUBERCULOSA PRIMARIA","010"
"011  TUBERCULOSE PULMONAR","011"
"012  OUTRAS TUBERCULOSES RESPIRATORIAS","012"
"013  TUBERCULOSE MENINGES E SIST NERV CENTRAL","013"
"014  TUBERCULOSE INTEST PERIT E GANG MESENTER","014"
"015  TUBERCULOSE OSSOS E ARTICULACOES","015"
"016  TUBERCULOSE APARELHO GENITURINARIO","016"
"017  TUBERCULOSE DE OUTROS ORGAOS","017"
"018  TUBERCULOSE MILIAR","018"
"020  PESTE","020"
"021  TULAREMIA","021"
"022  CARBUNCULO","022"
"023  BRUCELOSE","023"
"024  MORMO","024"
"025  MELIOIDOSE","025"
"026  FEBRE TRANSMITIDA POR MORDEDURA DE RATO","026"
"027  OUTRAS ZOONOSES CAUSADAS POR BACTERIAS","027"
"030  HANSENIASE","030"
"031  DOENCAS DEVIDAS A OUTRAS MICOBACTERIAS","031"
"032  DIFTERIA","032"
"033  COQUELUCHE","033"
"034  ANGINA ESTREPTOCOCICA E ESCARLATINA","034"
"035  ERISIPELAS","035"
"036  INFECCAO MENINGOCOCICA","036"
"037  TETANO (EXCETO NEONATAL - 771.3)","037"
"038  SEPTICEMIA","038"
"039  INFECCOES ACTINOMICOTICAS","039"
"040  OUTRAS DOENCAS BACTERIANAS","040"
"041  INFEC BACTER AFEC CLASS OUT PART E N LOC","041"
"045  POLIOMIELITE AGUDA","045"
"046  INFEC SIST NERV CENTRAL DEV VIRUS LENTOS","046"
"047  MENINGITE DEVIDA A ENTEROVIRUS","047"
"048  OUT DOEN SIST NERV CENTR DEV A ENTOROVIR","048"
"049  OUT VIROSES S NERV CENT N TRANSM ARTROP","049"
"050  VARIOLA","050"
"051  VACINA E PARAVACINIA","051"
"052  VARICELA","052"
"053  HERPES ZOSTER","053"
"054  HERPES SIMPLES","054"
"055  SARAMPO","055"
"056  RUBEOLA","056"
"057  OUTROS EXANTEMAS POR VIRUS","057"
"060  FEBRE AMARELA","060"
"061  DENGUE","061"
"062  ENCEFALITE VIRAL TRANSMIT POR MOSQUITOS","062"
"063  ENCEFALITE VIRAL TRANSMIT POR CARRAPATOS","063"
"064  ENCEFAL VIRAL TRANSM OUT ARTROP E N ESP","064"
"065  FEBRES HEMORRAGICAS TRANSMIT P ARTROPODE","065"
"066  OUT DOENCAS VIRAIS TRANSMIT P ARTROPODES","066"
"070  HEPATITE POR VIRUS","070"
"071  RAIVA","071"
"072  PAROTIDITE EPIDEMICA","072"
"073  ORNITOSE","073"
"074  DOENCAS ESPECIFICAS DEV VIRUS COXSACKIE","074"
"075  MONONUCLEOSE INFECCIOSA","075"
"076  TRACOMA","076"
"077  OUT DOENC CONJUNTIVA DEV VIRUS E CLAMID","077"
"078  OUT DOENC DEVIDAS A VIRUS E CLAMIDIAS","078"
"079  INFEC VIR EM AFEC CLASS OUT PART E N ESP","079"
"080  TIFO (EPIDEMICO) TRANSMITIDO POR PIOLHO","080"
"081  OUTROS TIFOS","081"
"082  RICKETTSIOSES TRANSMITIDAS P CARRAPATOS","082"
"083  OUTRAS RICKETTSIOSES","083"
"084  MALARIA","084"
"085  LEISHMANIOSE","085"
"086  TRIPANOSSOMIASE","086"
"087  FEBRE RECORRENTE","087"
"088  OUTRAS DOENCAS TRANSMITIDAS P ARTROPODES","088"
"090  SIFILIS CONGENITA","090"
"091  SIFILIS PRECOCE SINTOMATICA","091"
"093  SIFILIS CARDIOVASCULAR","093"
"094  NEUROSSIFILIS","094"
"095  OUT FORMAS SIFILIS TARDIA C SINTOMATOLOG","095"
"097  OUT FORMAS DE SIFILIS E NAO ESPECIFICAD","097"
"098  INFECCOES GONOCOCICAS","098"
"099  OUTRAS DOENCAS VENEREAS","099"
"100  LEPTOSPIROSE","100"
"101  ANGINA DE VINCENT","101"
"102  BOUBA","102"
"103  PINTA","103"
"104  OUTRAS INFEC CAUSADAS POR ESPIROQUETAS","104"
"110  DERMATOFITOSE","110"
