"DESCRICAO","CAUSAS"
"01 DOENCAS INFECCIOSAS INTESTINAIS","001-009"
"010 COLERA","001"
"011 FEBRE TIFOIDE E PARATIFOIDE","002"
"012 SHIGUELOSE","004"
"013 INTOXICACOES ALIMENTARES","003,005"
"014 AMEBIASE","006"
"015 INFEC INTESTIN DEV A OUT MICROORG ESPECIF","007-008"
"016 INFECCOES INTESTINAIS MAL DEFINIDAS","009"
"02 TUBERCULOSE","010-018"
"020 TUBERCULOSE PULMONAR","011"
"021 OUTRAS TUBERCULOSES RESPIRATORIAS","010,012"
"022 TUBERC MENINGES E SIST NERVOSO CENTRAL","013"
"026 TUBERCULOSE MILIAR","018"
"03 OUTRAS DOENCAS BACTERIANAS","020-041"
"030 PESTE","020"
"032 HANSENIASE","030"
"033 DIFTERIA","032"
"034 COQUELUCHE","033"
"035 ANGINA ESTREPTOCOC ESCARLATINA E ERISIPELAS","034-035"
"036 INFECCAO MENINGOCOCICA","036"
"037 TETANO (EXCLUI O NEONATAL - 456)","037"
"038 SEPTICEMIA","038"
"04 DOENCAS VIRAIS","045-079"
"040 POLIOMIELITE AGUDA","045"
"042 SARAMPO","055"
"044 FEBRE AMARELA","060"
"045 ENCEFALITE TRANSMITIDA POR ARTROPODES","062-064"
"046 HEPATITE POR VIRUS","070"
"047 RAIVA","071"
"05 RICKETTSIOSES E OUT DOENC TRANSMIT P ARTROPODES","080-088"
"052 MALARIA","084"
"053 LEISHMANIOSE","085"
"054 TRIPANOSSOMIASE","086"
"06 DOENCAS VENEREAS","090-099"
"060 SIFILIS","090-097"
"07 OUT DOENC INFEC E PARASIT E EFEITOS TARDIOS","100-139"
"072 ESQUISTOSSOMIASE","120"
"075 ANCILOSTOMIASE E NECATORIASE","126"
"077 EFEITOS TARDIOS DA TUBERCULOSE","137"
"079.0 LEPTOSPIROSE","100"
"079.1 INFECCOES BLASTOMICOTICAS","116"
"08-14 NEOPLASMAS MALIGNOS","140-208"
"090 NEOPLASMA MALIGNO DO ESOFAGO","150"
"091 NEOPLASMA MALIGNO DO ESTOMAGO","151"
"093 NEOPLASMA MALIGNO DO COLON","153"
"094 NEOPL MALIG RETO JUNCAO RETOSSIGMOID E ANUS","154"
"096 NEOPLAMA MALIGNO DO PANCREAS","157"
"100 NEOPLASMA MALIGNO DA LARINGE","161"
"101 NEOPL MALIGNO TRAQUEIA BRONQUIOS E PULMAO","162"
"113 NEOPLASMA MALIGNO DA MAMA FEMININA","174"
"120 NEOPLASMA MALIGNO DO COLO DO UTERO","180"
"122 NEOPL MALIGNO DO UTERO OUT LOC E NAO ESPEC","179,182"
"124 NEOPLASMA MALIGNO DA PROSTATA","185"
"141 LEUCEMIA","204-208"
"15-17 NEOPL BENIG CARCIN IN SITU OUT NEOP N ESP","210-239"
"152 NEOPLASMA BENIGNO DO UTERO","218-219"
"18 DOENC ENDOCRINAS E METABOLICAS E TRANST IMUNIT","240-259,270-279"
"180 TRANSTORNO DE GLANDULA TIREOIDE","240-246"
"181 DIABETES MELLITUS","250"
"19 DEFICIENCIAS NUTRICIONAIS","260-269"
"191 MARASMO NUTRICIONAL","261"
"192 OUT FORMAS DE DESNUTRICAO PROTEICO CALORICA","262-263"
"20 DOENCAS DO SANGUE E DOS ORGAOS HEMATOPOETICOS","280-289"
"200 ANEMIA","280-285"
"21 TRANSTORNOS MENTAIS","290-319"
"215 SINDROME DE DEPENDENCIA DO ALCOOL","303"
"22-24 DOENC DO SIST NERVOSO E DOS ORGAOS DOS SENT","320-389"
"220 MENINGITE","320-322"
"225 EPILEPSIA","345"
"240 OTITE MEDIA E MASTOIDITE","381-383"
"25 FEBRE REUMATICA E DOENC REUMATICA DO CORACAO","390-398"
"250 FEBRE REUMATICA ATIVA","390-392"
"251 DOENCA REUMATICA CRONICA DO CORACAO","393-398"
"26 DOENCA HIPERTENSIVA","401-405"
"27 DOENCA ISQUEMICA DO CORACAO","410-414"
"270 INFARTO AGUDO DO MIOCARDIO","410"
"28 DOENC DA CIRC PULMONAR E OUT FORMAS DE D DO COR","415-429"
"29 DOENCA CEREBROVASCULAR","430-438"
