"DESCRICAO","CAUSAS"
"1 DOENCAS INFECCIOSAS INTESTINAIS","001-009"
"- COLERA","001"
"- INFECCOES INTESTINAIS MAL DEFINIDAS","009"
"- AS DEMAIS","002-008"
"2 DOENCAS IMUNOPREVENIVEIS","032,033,037,045,055,138,771.3"
"- DIFTERIA","032"
"- COQUELUCHE","033"
"- TETANO ACIDENTAL","037"
"- TETANO NEONATAL","771.3"
"- POLIOMIELITE AGUDA E EFEITOS TARDIOS","045,138"
"- SARAMPO","055"
"3 D INFEC REDUTIVEIS P DIAGNOST E TRATAM PRECOC","010-018,030,090-097,137"
"- TUBERCULOSE E EFEITOS TARDIOS","010-018,137"
"- HANSENIASE","030"
"- SIFILIS","090-097"
"4 DOEN INFEC REDUT SANEAM CONTR VETOR E OUT MEDID","020,060-061,070-071,084-086,100,120"
"- PESTE","020"
"- FEBRE AMARELA","060"
"- DENGUE","061"
"- HEPATITES VIRAIS","070"
"- RAIVA","071"
"- MALARIA","084"
"- LEISHMANIOSE","085"
"- TRIPANOSSOMIASE","086"
"- LEPTOSPIROSE","100"
"- ESQUITOSSOMOSE","120"
"5 SEPTICEMIA","038"
"6 MENINGITES (INCL MENINGOCOCIA EXCL TUBERCULOSA)","036,047,049,320,322"
"7 NEOPLASMAS MALIGNOS","140-208"
"- ESOFAGO","150"
"- ESTOMAGO","151"
"- COLON","153"
"- LARINGE","161"
"- TRAQUEIA BRONQUIOS E PULMAO","162"
"- MAMA FEMININA","174"
"- COLO DO UTERO","180"
"- LEUCEMIA","204-208"
"- OS DEMAIS NEOPLASMAS MALIGNOS","140-149,152,154-160,163-173,175-179,181-203"
"8 NEOPL BENIG CARCIN COMPORT INCERTO E NAO ESPEC","210-239"
"9 DIABETES MELLITUS","250"
"10 DEFICIENCIAS NUTRICIONAIS E ANEMIAS CARENCIAIS","260-269,280-281,285"
"- DEFICIENCIAS NUTRICIONAIS","260-269"
"- ANEMIAS CARENCIAIS","280,281,285"
"11 TRANSTORNOS MENTAIS","290-319"
"- SINDROME DA DEPENDENCIA DO ALCOOL","303"
"- OS DEMAIS TRANSTORNOS MENTAIS","290-302,304-319"
"12 EPILEPSIA","345"
"13 FEBRE REUMATICA E DOENCA REUMATICA DO CORACAO","390-398"
"14 DOENCA HIPERTENSIVA","401-405"
"15 DOENCA ISQUEMICA DO CORACAO","410-414"
"- INFARTO AGUDO DO MIOCARDIO","410"
"- AS DEMAIS","411-414"
"16 DOENCA DA CIRC PULM E OUT FORM DE DOEN DO COR","415-429"
"- INSUFICIENCIA CARDIACA","428"
"- AS DEMAIS","415-427,429"
"17 DOENCA CEREBROVASCULAR","430-438"
"- DOENCA CEREBROVASCULAR AGUDA MAL DEFINIDA","436"
"- AS DEMAIS","430-435,437-438"
"18 DOENCAS DAS ARTERIAS ARTERIOLAS E CAPILARES","440-448"
"19 INFECCOES RESPIRATORIAS AGUDAS","460-466,480-487"
"- INFEC AGUDAS DAS VIAS RESP SUP E BRONQ AGUDA","460-466"
"- PNEUMONIA E GRIPE","480-487"
"20 DOENCA PULMONAR OBSTRUTIVA CRONICA E AFEC AFINS","490-496"
"21 EDEMA AGUDO E OUTRAS DOENCAS DO PULMAO","518"
"22 DOENCAS DO ESOFAGO ESTOMAGO E DUODENO","530-537"
"23 APEND HERN CAV ABDOM E OUT AFEC INTEST E PERIT","540-569"
"24 DOENCA CRONICA DO FIGADO E CIRROSE","571"
"25 DOENCAS DO APRELHO URINARIO","580-599"
"26 DOENCAS DOS ORGAOS GENITAIS MASCULINOS","600-608"
"27 DOENCAS DOS ORGAOS GENITAIS FEMININOS","610-629"
"28 COMPLICACOES DA GRAVIDEZ DO PARTO E DO PUERPER","630-676"
"- ABORTO","630-639"
"- AS DEMAIS","640-676"
"29 ANOMALIAS CONGENITAS","740-759"
"30 AFEC ORIG PERIODO PERINAT (EXC TETANO NEONATAL)","760-771.2-771.4-779"
"- PREMATUR BAIXO PESO NASC E CRESC FETAL RETARD","764-765"
"- HIPOXIA E ASFIXIA AO NASC E OUT AFEC RESPIRAT","768-770"
"- INFEC ESPECIF PERIOD PERINATAL EXC TET NEONAT","771.0-771.2,771.4-771.8"
"- AS DEMAIS","760-763,766-767,772-779"
"31 ACIDENTES DE TRANSITO DE VEICULO A MOTOR","810-819"
"32 ACID EXC DE TRANS DE VEIC MOTOR, E EFEIT ADVERS","800-807,820-949"
"- FRATURA DE CAUSA NAO ESPECIFICADA","887"
"- AFOGAMENTO ACIDENTAL","910"
"- OS DEMAIS","800-807,820-886,889-909,911-949"
"33 SUICIDIOS","950-959"
"34 HOMICIDIOS","960-969"
"35 LESOES EM QUE SE IGNORA SE FORAM ACID OU INTENC","980-989"
"36 TODAS AS OUTRAS DOENCAS E LESOES (DEFINIDAS)","-01"
"37 SINAIS SINTOMAS E AFECCOES MAL DEFINIDAS","780-799"
