"CODIGO","DESCRICAO"
"001","AIKANA (AIKANA)"
"002","AIKANA (CORUMBIARA)"
"003","AIKANA (HUARI)"
"004","AIKANA (KASUPA)"
"005","AIKANA (MASAKA)"
"006","AIKANA (MUNDE)"
"007","AIKANA (TUBARAO)"
"008","AIKANA AIKANA"
"009","AIKANA MASSAKA"
"010","AIKANA TUBARAO"
"011","ARAPASO"
"012","ARARA DO ARIPUANA"
"013","ARARA SHAWANAWA"
"014","ARARA SHAWANAWA"
"015","ARARA UKARAGMA"
"016","ARARA UKARAGMA"
"017","ARAWA:BANAVA-YAFI"
"018","ARAWA:DENI"
"019","ARAWA:JARAWARA"
"020","ARAWA:KANAMANTI"
"021","ARAWA:KULINA"
"022","ARAWA:KULINA MADJA"
"023","ARAWA:KULINA PANO"
"024","ARAWA:PAUMARI"
"025","ARAWA:YAMAMADI (JAMAMADI)"
"026","ARAWA:ZURUAHA"
"027","ARIKAPU"
"028","ARIKEN:KARITIANA"
"029","ARUAK:APURINA (IPURINA)"
"030","ARUAK:BANIWA"
"031","ARUAK:BANIWA DO ICANA"
"032","ARUAK:BARE"
"033","ARUAK:KAMPA"
"034","ARUAK:MANDAWAKA"
"035","ARUAK:MEHINAU"
"036","ARUAK:PALIKUR"
"037","ARUAK:PARESI"
"038","ARUAK:PARESI (HALITI)"
"039","ARUAK:PIRO:MANITENERI"
"040","ARUAK:PIRO:MAXINERI"
"041","ARUAK:SALUMA"
"042","ARUAK:SALUMA ENAWENE-NAWE"
"043","ARUAK:TAR.YURUPARI-TAPUYA"
"044","ARUAK:TARIANA"
"045","ARUAK:TARIANO (TALIASERI"
"046","ARUAK:TERENA (TERENO)"
"047","ARUAK:WAPIXANA"
"048","ARUAK:WAREKENA(WEREKENA)"
"049","ARUAK:WAURA"
"050","ARUAK:YABAANA"
"051","ARUAK:YAWALAPITI"
"052","ATIKUM"
"053","AWAKE"
"054","AWETI"
"055","BORORO:BOE"
"056","BORORO:BORORO (ORARI)"
"057","BORORO:BORORO (ORIENTAL)"
"058","BORORO:UMUTINA(BARBADOS)"
"059","BOTOCUDO:KRENAK"
"060","BOTOCUDO:KRENAK/NAKREHE"
"061","GUAIKURU:KADIWEU"
"062","GUATO"
"063","HARIB:TIRIYO (TIRIO)"
"064","IRANTXE (IRANXE)"
"065","IRANTXE (MEHKY)"
"066","IRANTXE (MUNKU)"
"067","IRANTXE (MYKY)"
"068","ISSE"
"069","JABUTI"
"070","JE:AKWEN:XAKRIABA"
"071","JE:AKWEN:XAVANTE(A WE)"
"072","JE:AKWEN:XERENTE(AKWE)"
"073","JE:APINAYE (APINAJE)"
"074","JE:KAINGANG"
"075","JE:KAYAPO"
"076","JE:KAYAPO:A UKRE"
"077","JE:KAYAPO:GOROTIRE"
"078","JE:KAYAPO:KARARAO"
"079","JE:KAYAPO:KIKRETUM"
"080","JE:KAYAPO:KIKRIN"
"081","JE:KAYAPO:KROKRAIMORO"
"082","JE:KAYAPO:KUBENKOKRE"
"083","JE:KAYAPO:KUBENKRANGNOTI"
"084","JE:KAYAPO:KUBENKRANKEGN"
"085","JE:KAYAPO:MENKRANGNOTI"
"086","JE:KAYAPO:METUKTIRE"
"087","JE:KAYAPO:PUKANU"
"088","JE:KAYAPO:TAPAYANA(B.PAU)"
"089","JE:KAYAPO:TAPAYUNA"
"090","JE:KAYAPO:TXUKAHAMAE"
"091","JE:KAYAPO:XIKRIN (XIKRI)"
"092","JE:PANARA:KREN-AKARORE"
"093","JE:SUYA"
"094","JE:TIM.:CA.:RAMKOKAMEKRA"
"095","JE:TIM.:CANELA APANIEKR"
"096","JE:TIM.:G.PA (PARAKATEYE)"
"097","JE:TIM.:GAV.MA(PUKOBYE)"
"098","JE:TIM.:KRIKATI"
"099","JE:TIM.:KRIKATI(KRINKATI)"
"100","JE:TIM:GAVIAO(MAE MARIA)"
"101","JE:TIMBIRA:KRAHO"
"102","JE:TIMBIRA:KREYE (KRENJE)"
"103","JE:XOKLENG (AWEIKOMA)"
"104","JENIPAPO(KANINDE)"
"105","JERINPANCO"
"106","JURUNA:JURUNA(YURUNA)"
"107","JURUNA:XIPAYA"
"108","JURUNA:YUDJA"
"109","KABIYARI"
"110","KAIMBE"
"111","KAIXANA"
"112","KAMBA"
"113","KAMBIWA"
"114","KANOE (KAPIXANA)"
"115","KANTARURE"
"116","KAPINAWA"
"117","KARAFAWYANA"
"118","KARAJA:JAVAE"
"119","KARAJA:KARAJA"
"120","KARAJA:XAMBIOA"
"121","KARAPOTO"
"122","KARI:MAYONGONG MAKIRITARE"
"123","KARIB:APALAI (APARAI)"
"124","KARIB:ARARA DO PARA"
"125","KARIB:ATROARI"
"126","KARIB:BAKAIRI (KURA)"
"127","KARIB:GALIBI DO OIAPOQUE"
"128","KARIB:GALIBI DO UACA"
"129","KARIB:GALIBI MARWINO"
"130","KARIB:HIXKARYANA"
"131","KARIB:INGARIKO"
"132","KARIB:INGARIKO (AKAWAIO)"
"133","KARIB:INGARIKO (KAPONG)"
