"MUNICIPIO","DESCRICAO","REGIAO"
"1100000","RONDONIA - IGNORADO",""
"1100015","ALTA FLORESTA D'OESTE","001"
"1100023","ARIQUEMES","369"
"1100031","CABIXI","371"
"1100049","CACOAL","369"
"1100056","CEREJEIRAS","371"
"1100064","COLORADO DO OESTE","371"
"1100072","CORUMBIARA",""
"1100080","COSTA MARQUES","001"
"1100098","ESPIGAO D'OESTE","370"
"1100106","GUAJARA-MIRIM","001"
"1100114","JARU","369"
"1100122","JI-PARANA","369"
"1100130","MACHADINHO D'OESTE","369"
"1100148","NOVA BRASILANDIA D'OESTE","369"
"1100155","OURO PRETO DO OESTE","369"
"1100189","PIMENTA BUENO","370"
"1100205","PORTO VELHO","001"
"1100254","PRESIDENTE MEDICI","369"
"1100262","RIO CRESPO",""
"1100288","ROLIM DE MOURA","369"
"1100296","SANTA LUZIA D'OESTE","369"
"1100304","VILHENA","370"
"1100320","SAO MIGUEL DO GUAPORE","001"
"1100338","NOVA MAMORE","001"
"1100346","ALVORADA D'OESTE","369"
"1100403","ALTO PARAISO",""
"1100502","NOVO HORIZONTE DO OESTE",""
"1100601","CACAULANDIA",""
"1100700","CAMPO NOVO DE RONDONIA",""
"1100809","CANDEIAS DO JAMARI",""
"1100908","CASTANHEIRAS",""
"1101005","GOVERNADOR JORGE TEIXEIRA",""
"1101104","JAMARI",""
"1101203","MINISTRO ANDREAZZA",""
"1101302","MIRANTE DA SERRA",""
"1101401","MONTE NEGRO",""
"1101500","SERINGUEIRAS",""
"1101609","THEOBROMA",""
"1101708","URUPA",""
"1101807","VALE DO PARAISO",""
"1200000","ACRE - IGNORADO",""
"1200013","ACRELANDIA",""
"1200054","ASSIS BRASIL","003"
"1200104","BRASILEIA","003"
"1200138","BUJARI",""
"1200179","CAPIXABA",""
"1200203","CRUZEIRO DO SUL","002"
"1200252","EPITACIOLANDIA",""
"1200302","FEIJO","002"
"1200328","JORDAO",""
"1200336","MANCIO LIMA","002"
"1200344","MANOEL URBANO","003"
"1200351","MARECHAL THAUMATURGO",""
"1200385","PLACIDO DE CASTRO","003"
"1200393","PORTO WALTER",""
"1200401","RIO BRANCO","003"
"1200427","RODRIGUES ALVES",""
"1200435","SANTA ROSA DO PURUS",""
"1200450","SENADOR GUIOMARD","003"
"1200500","SENA MADUREIRA","003"
"1200609","TARAUACA","002"
"1200708","XAPURI","003"
"1200807","PORTO ACRE",""
"1300000","AMAZONAS - IGNORADO",""
"1300029","ALVARAES","009"
"1300060","AMATURA","004"
"1300086","ANAMA","009"
"1300102","ANORI","009"
"1300144","APUI","010"
"1300201","ATALAIA DO NORTE","004"
"1300300","AUTAZES","010"
"1300409","BARCELOS","008"
"1300508","BARREIRINHA","010"
"1300607","BENJAMIN CONSTANT","004"
"1300631","BERURI","010"
"1300680","BOA VISTA DO RAMOS","010"
"1300706","BOCA DO ACRE","006"
"1300805","BORBA","007"
"1300839","CAAPIRANGA","010"
"1300904","CANUTAMA","006"
"1301001","CARAUARI","005"
"1301100","CAREIRO","010"
"1301159","CAREIRO DA VARZEA","010"
"1301209","COARI","009"
"1301308","CODAJAS","009"
"1301407","EIRUNEPE","005"
"1301506","ENVIRA","005"
"1301605","FONTE BOA","004"
"1301654","GUAJARA","005"
"1301704","HUMAITA","007"
"1301803","IPIXUNA","005"
"1301852","IRANDUBA","010"
"1301902","ITACOATIARA","010"
"1301951","ITAMARATI","005"
"1302009","ITAPIRANGA","010"
"1302108","JAPURA","009"
"1302207","JURUA","005"
"1302306","JUTAI","004"
"1302405","LABREA","006"
"1302504","MANACAPURU","010"
"1302553","MANAQUIRI","010"
"1302603","MANAUS","010"
"1302702","MANICORE","010"
"1302801","MARAA","009"
"1302900","MAUES","010"
"1303007","NHAMUNDA","010"
"1303106","NOVA OLINDA DO NORTE","010"
"1303205","NOVO AIRAO","008"
"1303304","NOVO ARIPUANA","007"
"1303403","PARINTINS","010"
"1303502","PAUINI","006"
"1303536","PRESIDENTE FIGUEIREDO","010"
"1303569","RIO PRETO DA EVA","010"
"1303601","SANTA ISABEL DO RIO NEGRO","008"
"1303700","SANTO ANTONIO DO ICA","004"
"1303809","SAO GABRIEL DA CACHOEIRA","008"
"1303908","SAO PAULO DE OLIVENCA","004"
"1303957","SAO SEBASTIAO DO UATUMA","010"
"1304005","SILVES","010"
"1304062","TABATINGA","004"
"1304104","TAPAUA","006"
"1304203","TEFE","009"
"1304237","TONANTINS","004"
"1304260","UARINI","009"
"1304302","URUCARA","010"
"1304401","URUCURITUBA","010"
"1400000","RORAIMA - IGNORADO",""
"1400050","ALTO ALEGRE","011"
"1400100","BOA VISTA","011"
"1400159","BONFIM","011"
"1400209","CARACARAI","011"
"1400308","MUCAJAI","011"
"1400407","NORMANDIA","011"
"1400506","SAO JOAO DA BALIZA","011"
"1400605","SAO LUIZ","011"
"1500000","PARA - IGNORADO",""
"1500107","ABAETETUBA","018"
"1500131","ABEL FIGUEIREDO",""
"1500206","ACARA","021"
"1500305","AFUA","016"
"1500347","AGUA AZUL DO NORTE",""
"1500404","ALENQUER","012"
"1500503","ALMEIRIM","014"
"1500602","ALTAMIRA","015"
"1500701","ANAJAS","016"
"1500800","ANANINDEUA","025"
"1500909","AUGUSTO CORREA","024"
"1500958","AURORA DO PARA",""
"1501006","AVEIRO","013"
"1501105","BAGRE","018"
"1501204","BAIAO","018"
"1501303","BARCARENA","018"
"1501402","BELEM","025"
"1501501","BENEVIDES","025"
"1501576","BOM JESUS DO TOCANTINS","019"
"1501600","BONITO","024"
"1501709","BRAGANCA","024"
"1501725","BRASIL NOVO",""
"1501758","BREJO GRANDE DO ARAGUAIA","019"
"1501782","BREU BRANCO",""
"1501808","BREVES","016"
"1501907","BUJARU","022"
"1502004","CACHOEIRA DO ARARI","017"
"1502103","CAMETA","018"
"1502202","CAPANEMA","024"
"1502301","CAPITAO POCO","022"
"1502400","CASTANHAL","024"
"1502509","CHAVES","017"
"1502608","COLARES","023"
"1502707","CONCEICAO DO ARAGUAIA","020"
"1502756","CONCORDIA DO PARA","022"
"1502764","CUMARU DO NORTE",""
"1502772","CURIONOPOLIS","019"
"1502806","CURRALINHO","016"
"1502905","CURUCA","023"
"1502939","DOM ELISEU","022"
"1502954","ELDORADO DOS CARAJAS",""
"1503002","FARO","012"
"1503077","GARRAFAO DO NORTE","022"
"1503093","GOIANESIA DO PARA",""
"1503101","GURUPA","016"
"1503200","IGARAPE-ACU","024"
"1503309","IGARAPE-MIRI","018"
"1503408","INHANGAPI","024"
"1503457","IPIXUNA DO PARA",""
"1503507","IRITUIA","022"
"1503606","ITAITUBA","013"
"1503705","ITUPIRANGA","019"
"1503754","JACAREACANGA",""
"1503804","JACUNDA","019"
"1503903","JURUTI","012"
"1504000","LIMOEIRO DO AJURU","018"
"1504059","MAE DO RIO","022"
"1504109","MAGALHAES BARATA","023"
"1504208","MARABA","019"
"1504307","MARACANA","023"
"1504406","MARAPANIM","023"
"1504455","MEDICILANDIA","014"
"1504505","MELGACO","016"
"1504604","MOCAJUBA","018"
"1504703","MOJU","018"
"1504802","MONTE ALEGRE","012"
"1504901","MUANA","017"
"1504950","NOVA ESPERANCA DO PIRIA",""
"1505007","NOVA TIMBOTEUA","024"
"1505031","NOVO PROGRESSO",""
"1505064","NOVO REPARTIMENTO",""
"1505106","OBIDOS","012"
"1505205","OEIRAS DO PARA","018"
"1505304","ORIXIMINA","012"
"1505403","OUREM","022"
"1505437","OURILANDIA DO NORTE","015"
"1505486","PACAJA","016"
"1505494","PALESTINA DO PARA",""
"1505502","PARAGOMINAS","022"
"1505536","PARAUAPEBAS","019"
"1505551","PAU D'ARCO",""
"1505601","PEIXE-BOI","024"
"1505700","PONTA DE PEDRAS","017"
"1505809","PORTEL","016"
"1505908","PORTO DE MOZ","014"
"1506005","PRAINHA","014"
"1506104","PRIMAVERA","023"
"1506138","REDENCAO","020"
"1506161","RIO MARIA","020"
"1506187","RONDON DO PARA","022"
"1506195","RUROPOLIS","013"
"1506203","SALINOPOLIS","023"
"1506302","SALVATERRA","017"
"1506351","SANTA BARBARA DO PARA",""
"1506401","SANTA CRUZ DO ARARI","017"
"1506500","SANTA ISABEL DO PARA","024"
"1506559","SANTA LUZIA DO PARA",""
"1506583","SANTA MARIA DAS BARREIRAS","020"
"1506609","SANTA MARIA DO PARA","024"
"1506708","SANTANA DO ARAGUAIA","020"
"1506807","SANTAREM","012"
"1506906","SANTAREM NOVO","023"
"1507003","SANTO ANTONIO DO TAUA","023"
"1507102","SAO CAETANO DE ODIVELAS","023"
"1507151","SAO DOMINGOS DO ARAGUAIA",""
"1507201","SAO DOMINGOS DO CAPIM","022"
"1507300","SAO FELIX DO XINGU","015"
"1507409","SAO FRANCISCO DO PARA","024"
"1507458","SAO GERALDO DO ARAGUAIA","020"
"1507474","SAO JOAO DE PIRABAS","023"
"1507508","SAO JOAO DO ARAGUAIA","019"
"1507607","SAO MIGUEL DO GUAMA","024"
"1507706","SAO SEBASTIAO DA BOA VISTA","016"
"1507805","SENADOR JOSE PORFIRIO","016"
"1507904","SOURE","017"
"1507953","TAILANDIA","021"
"1507961","TERRA ALTA",""
"1507979","TERRA SANTA",""
"1508001","TOME-ACU","021"
"1508050","TRAIRAO",""
"1508084","TUCUMA","015"
"1508100","TUCURUI","019"
"1508126","ULIANOPOLIS",""
"1508159","URUARA","014"
"1508209","VIGIA","023"
"1508308","VISEU","026"
"1508357","VITORIA DO XINGU",""
"1508407","XINGUARA","020"
"1600000","AMAPA - IGNORADO",""
"1600055","SERRA DO NAVIO",""
"1600105","AMAPA","028"
"1600154","PEDRA BRANCA DO AMAPARI",""
"1600204","CALCOENE","028"
"1600212","CUTIAS",""
"1600238","FERREIRA GOMES","028"
"1600253","ITAUBAL",""
"1600279","LARANJAL DO JARI","027"
"1600303","MACAPA","027"
"1600402","MAZAGAO","027"
"1600501","OIAPOQUE","028"
"1600535","PORTO GRANDE",""
"1600550","PRACUUBA",""
"1600600","SANTANA","027"
"1600709","TARTARUGALZINHO","028"
"1700000","TOCANTINS - IGNORADO",""
"1700251","ABREULANDIA",""
"1700350","ALIANCA DO TOCANTINS","348"
"1700400","ALMAS","349"
"1700707","ALVORADA","348"
"1701002","ANANAS","345"
"1701051","ANGICO",""
"1701101","APARECIDA DO RIO NEGRO","347"
"1701309","ARAGOMINAS",""
"1701903","ARAGUACEMA","346"
"1702000","ARAGUACU","348"
"1702109","ARAGUAINA","345"
"1702158","ARAGUANA",""
"1702208","ARAGUATINS","345"
"1702307","ARAPOEMA","346"
"1702406","ARRAIAS","349"
"1702554","AUGUSTINOPOLIS","345"
"1702703","AURORA DO TOCANTINS","349"
"1702901","AXIXA DO TOCANTINS","345"
"1703008","BABACULANDIA","345"
"1703107","BARROLANDIA","348"
"1703206","BERNARDO SAYAO","346"
"1703305","BOM JESUS DO TOCANTINS",""
"1703602","BRASILANDIA DO TOCANTINS",""
"1703701","BREJINHO DE NAZARE","348"
"1703800","BURITI DO TOCANTINS","345"
"1703826","CACHOEIRINHA",""
"1703842","CAMPOS LINDOS",""
"1703867","CARIRI DO TOCANTINS",""
"1703883","CARMOLANDIA",""
"1703891","CARRASCO BONITO",""
"1703909","CASEARA","346"
"1704105","CENTENARIO",""
"1705508","COLINAS DO TOCANTINS","346"
"1705557","COMBINADO","349"
"1705607","CONCEICAO DO TOCANTINS","349"
"1706001","COUTO DE MAGALHAES","346"
"1706100","CRISTALANDIA","348"
"1706506","DARCINOPOLIS",""
"1707009","DIANOPOLIS","349"
"1707108","DIVINOPOLIS DO TOCANTINS","348"
"1707207","DOIS IRMAOS DO TOCANTINS","346"
"1707306","DUERE","348"
"1707405","ESPERANTINA",""
"1707553","FATIMA","348"
"1707652","FIGUEIROPOLIS","348"
"1707702","FILADELFIA","345"
"1708205","FORMOSO DO ARAGUAIA","348"
"1708254","FORTALEZA DO TABOCAO",""
"1708304","GOIANORTE","346"
"1709005","GOIATINS","347"
"1709302","GUARAI","348"
"1709500","GURUPI","348"
"1710508","ITACAJA","347"
"1710706","ITAGUATINS","345"
"1710904","ITAPIRATINS",""
"1711100","ITAPORA DO TOCANTINS","346"
"1711506","JAU DO TOCANTINS",""
"1711803","JUARINA",""
"1711902","LAGOA DA CONFUSAO",""
"1711951","LAGOA DO TOCANTINS",""
"1712009","LAJEADO",""
"1712405","LIZARDA","347"
"1712504","MARIANOPOLIS DO TOCANTINS","346"
"1712702","MATEIROS",""
"1712801","MAURILANDIA DO TOCANTINS",""
"1713205","MIRACEMA DO TOCANTINS","348"
"1713304","MIRANORTE","348"
"1713601","MONTE DO CARMO","348"
"1713809","MOSQUITO",""
"1713957","MURICILANDIA",""
"1714203","NATIVIDADE","349"
"1714302","NAZARE","345"
"1714880","NOVA OLINDA","345"
"1715002","NOVA ROSALANDIA","348"
"1715101","NOVO ACORDO","347"
"1715150","NOVO ALEGRE",""
"1715259","NOVO JARDIM",""
"1715705","PALMEIRANTE",""
"1715754","PALMEIROPOLIS","349"
"1716109","PARAISO DO TOCANTINS","348"
"1716208","PARANA","349"
"1716307","PAU D'ARCO",""
"1716505","PEDRO AFONSO","347"
"1716604","PEIXE","348"
"1716653","PEQUIZEIRO","346"
"1716703","COLMEIA","346"
"1717008","PINDORAMA DO TOCANTINS","349"
"1717206","PIRAQUE",""
"1717503","PIUM","348"
"1717800","PONTE ALTA DO BOM JESUS","349"
"1717909","PONTE ALTA DO TOCANTINS","347"
"1718006","PORTO ALEGRE DO TOCANTINS","349"
"1718204","PORTO NACIONAL","348"
"1718303","PRAIA NORTE","345"
"1718402","PRESIDENTE KENNEDY","348"
"1718501","RECURSOLANDIA",""
"1718550","RIACHINHO",""
"1718659","RIO DA CONCEICAO",""
"1718709","RIO DOS BOIS",""
"1718758","RIO SONO","347"
"1718808","SAMPAIO","345"
"1718840","SANDOLANDIA",""
"1718865","SANTA FE DO ARAGUAIA",""
"1718881","SANTA MARIA DO TOCANTINS",""
"1718907","SANTA ROSA DO TOCANTINS","349"
"1719004","SANTA TEREZA DO TOCANTINS","347"
"1720101","SAO BENTO DO TOCANTINS",""
"1720150","SAO FELIX DO TOCANTINS",""
"1720200","SAO MIGUEL DO TOCANTINS",""
"1720259","SAO SALVADOR DO TOCANTINS",""
"1720309","SAO SEBASTIAO DO TOCANTINS","345"
"1720499","SAO VALERIO DA NATIVIDADE","349"
"1720655","SILVANOPOLIS","348"
"1720804","SITIO NOVO DO TOCANTINS","345"
"1720853","SUCUPIRA",""
"1720903","TAGUATINGA","349"
"1720937","TAIPAS DO TOCANTINS",""
"1721000","PALMAS","348"
"1721109","TOCANTINIA","347"
"1721208","TOCANTINOPOLIS","345"
"1721307","TUPIRATINS",""
"1722081","WANDERLANDIA","345"
"1722107","XAMBIOA","345"
"2000107","EXTINTO",""
