"SIGLA_UF","CODIGO","DESCRICAO"
"RO","11","RONDONIA"
"AC","12","ACRE"
"AM","13","AMAZONAS"
"RR","14","RORAIMA"
"PA","15","PARA"
"AP","16","AMAPA"
"TO","17","TOCANTINS"
"MA","21","MARANHAO"
"PI","22","PIAUI"
"CE","23","CEARA"
"RN","24","RIO GRANDE DO NORTE"
"PB","25","PARAIBA"
"PE","26","PERNAMBUCO"
"AL","27","ALAGOAS"
"SE","28","SERGIPE"
"BA","29","BAHIA"
"MG","31","MINAS GERAIS"
"ES","32","ESPIRITO SANTO"
"RJ","33","RIO DE JANEIRO"
"SP","35","SAO PAULO"
"PR","41","PARANA"
"SC","42","SANTA CATARINA"
"RS","43","RIO GRANDE DO SUL"
"MS","50","MATO GROSSO DO SUL"
"MT","51","MATO GROSSO"
"GO","52","GOIAS"
"DF","53","DISTRITO FEDERAL"
