"DESCRICAO","CAUSAS"
"I. ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS","A00-B99"
"II. NEOPLASIAS (TUMORES)","C00-D48"
"III. DOENCAS DO SANGUE E ORG HEMO E ALG TRANS IMUNITARIOS","D50-D89"
"IV. DOENCAS ENDOCRINAS NUTRICIONAIS E METABOLICAS","E00-E90"
"V. TRANSTORNOS MENTAIS E COMPORTAMENTAIS","F00-F99"
"VI. DOENCAS DO SISTEMA NERVOSO","G00-G99"
"VII. DOENCAS DO OLHO E ANEXOS","H00-H59"
"VIII. DOENCAS DO OUVIDO E DA APOFISE MASTOIDE","H60-H95"
"IX. DOENCAS DO APARELHO CIRCULATORIO","I00-I99"
"X. DOENCAS DO APARELHO RESPIRATORIO","J00-J99"
"XI. DOENCAS DO APARELHO DIGESTIVO","K00-K99"
"XII. DOENCAS DA PELE E DO TECIDO SUBCUTANEO","L00-L99"
"XIII. DOENCAS SIST OSTEOMUSCULAR E TECIDO CONJUNTIVO","M00-M99"
"XIV. DOENCAS DO APARELHO GENITURINARIO","N00-N99"
"XV. GRAVIDEZ PARTO E PUERPERIO","O00-O99"
"XVI. ALGUMAS AFECCOES ORIGINADAS NO PERIODO PERINATAL","P00-P96"
"XVII. MALFORMACOES CONGENITAS DEFOR E ANOM CROMOSSOMICAS","Q00-Q99"
"XVIII. SINT SINAIS  ACHADOS ANOR DE EXA CLIC E LAB NAO CLASS","R00-R99"
"XIX. LESOES,ENVEN E ALGUMAS OUTR CONSEQ DE CAUSAS EXTERNAS","S00-T98"
"XX. CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE","V01-Y98"
"XXI. FAT QUE INFL O EST DE SAU E O CONTATO C/OS SER DE SAUDE","Z00-Z99"
